C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-50-18-681.load
Comment s20h crashed 9
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
5.380	77.220	49.830	79.860	206.910	5.380	79.900	85.000	209.950	374.850	5.380		
5.390	77.220	49.830	79.860	206.910	5.390	79.900	85.000	212.500	377.400	5.390		
5.400	77.220	49.830	77.220	204.270	5.400	81.780	84.390	212.280	378.450	5.400		
5.410	77.220	49.830	79.860	206.910	5.410	79.170	84.390	212.280	375.840	5.410		
5.420	79.860	49.830	77.220	206.910	5.420	79.170	84.390	214.890	378.450	5.420		
5.430	77.220	49.830	77.220	204.270	5.430	79.170	81.780	214.890	375.840	5.430		
5.440	79.860	49.830	79.860	209.550	5.440	77.430	81.780	214.890	374.100	5.440		
5.450	79.860	49.830	79.860	209.550	5.450	77.430	84.390	217.500	379.320	5.450		
5.460	79.860	49.830	79.860	209.550	5.460	77.430	81.780	214.890	374.100	5.460		
5.470	79.860	49.830	77.220	206.910	5.470	74.820	81.780	217.500	374.100	5.470		
5.480	79.860	49.830	77.220	206.910	5.480	74.820	84.390	217.500	376.710	5.480		
5.490	82.500	49.830	77.220	209.550	5.490	77.430	81.780	217.500	376.710	5.490		
5.500	79.860	49.830	77.220	206.910	5.500	74.820	81.780	214.890	371.490	5.500		
5.510	82.500	49.830	77.220	209.550	5.510	74.820	81.780	214.890	371.490	5.510		
5.520	82.140	49.950	77.330	209.420	5.520	74.820	81.780	214.890	371.490	5.520		
5.530	82.140	52.170	79.920	214.230	5.530	74.820	79.170	214.890	368.880	5.530		
5.540	82.140	52.170	79.920	214.230	5.540	74.820	79.170	217.500	371.490	5.540		
5.550	84.730	49.950	77.330	212.010	5.550	74.620	81.900	214.760	371.280	5.550		
5.560	84.730	52.170	77.330	214.230	5.560	74.620	79.170	214.760	368.550	5.560		
5.570	84.730	52.170	77.330	214.230	5.570	74.620	79.170	217.490	371.280	5.570		
5.580	84.730	52.170	77.330	214.230	5.580	74.620	79.170	217.490	371.280	5.580		
5.590	87.320	52.170	77.330	216.820	5.590	71.890	79.170	217.490	368.550	5.590		
5.600	87.320	52.170	79.920	219.410	5.600	71.890	77.350	217.490	366.730	5.600		
5.610	87.320	49.950	77.330	214.600	5.610	71.890	77.350	219.310	368.550	5.610		
5.620	87.320	52.170	77.330	216.820	5.620	71.890	77.350	219.310	368.550	5.620		
