C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-45-08-294.load
Comment s20vw
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
5.340	110.000	57.200	62.480	229.680	5.340	64.780	89.380	205.000	359.160	5.340		
5.350	110.000	59.840	64.680	234.520	5.350	67.240	89.380	201.720	358.340	5.350		
5.360	107.360	59.840	62.480	229.680	5.360	67.240	89.380	205.000	361.620	5.360		
5.370	110.000	57.200	62.480	229.680	5.370	67.240	89.380	205.000	361.620	5.370		
5.380	107.360	59.840	62.480	229.680	5.380	67.240	86.920	205.000	359.160	5.380		
5.390	110.000	57.200	62.480	229.680	5.390	67.230	89.640	204.180	361.050	5.390		
5.400	109.800	59.850	62.100	231.750	5.400	67.230	89.640	204.180	361.050	5.400		
5.410	109.800	57.150	62.100	229.050	5.410	67.230	89.640	204.180	361.050	5.410		
5.420	109.800	57.150	62.100	229.050	5.420	64.740	87.150	204.180	356.070	5.420		
5.430	109.800	59.850	62.100	231.750	5.430	67.230	89.640	204.180	361.050	5.430		
5.440	109.800	57.150	62.100	229.050	5.440	67.230	87.150	204.180	358.560	5.440		
5.450	109.800	57.150	62.100	229.050	5.450	67.230	87.150	204.180	358.560	5.450		
5.460	112.500	57.150	62.100	231.750	5.460	67.230	89.640	207.500	364.370	5.460		
5.470	109.800	57.150	62.100	229.050	5.470	67.230	89.640	204.180	361.050	5.470		
5.480	112.500	57.150	59.850	229.500	5.480	64.740	89.640	207.500	361.880	5.480		
5.490	109.800	57.150	59.850	226.800	5.490	67.230	89.640	207.500	364.370	5.490		
5.500	109.800	57.150	62.100	229.050	5.500	64.740	87.150	207.500	359.390	5.500		
5.510	109.800	57.150	59.850	226.800	5.510	67.230	89.640	207.500	364.370	5.510		
5.520	109.800	57.150	59.850	226.800	5.520	67.230	87.150	207.500	361.880	5.520		
5.530	109.800	57.150	62.100	229.050	5.530	67.230	84.660	204.180	356.070	5.530		
5.540	109.800	57.150	62.100	229.050	5.540	67.150	86.700	207.400	361.250	5.540		
5.550	109.800	59.850	62.100	231.750	5.550	67.150	85.000	207.400	359.550	5.550		
5.560	109.800	57.150	59.850	226.800	5.560	67.150	85.000	207.400	359.550	5.560		
5.570	109.800	57.150	62.100	229.050	5.570	67.150	89.250	209.950	366.350	5.570		
5.580	112.500	57.150	59.850	229.500	5.580	67.150	89.250	209.950	366.350	5.580		
5.590	109.800	57.150	59.850	226.800	5.590	64.600	89.250	209.950	363.800	5.590		
