C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-11-22-632.load
Comment s7 w
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
4.270	267.300	161.700	64.900	493.900	4.270	24.300	106.920	199.260	330.480	4.270		
4.280	269.500	161.700	64.900	496.100	4.280	24.300	106.920	199.260	330.480	4.280		
4.290	271.700	161.700	64.900	498.300	4.290	24.300	106.920	199.260	330.480	4.290		
4.300	271.700	161.700	61.600	495.000	4.300	24.300	104.490	196.830	325.620	4.300		
4.310	271.700	165.000	64.900	501.600	4.310	24.300	102.060	196.830	323.190	4.310		
4.320	275.000	165.000	61.600	501.600	4.320	24.300	102.060	196.830	323.190	4.320		
4.330	275.000	165.000	64.900	504.900	4.330	24.300	102.060	196.830	323.190	4.330		
4.340	275.000	165.000	64.900	504.900	4.340	24.300	102.060	196.830	323.190	4.340		
4.350	271.700	165.000	67.100	503.800	4.350	22.400	100.000	196.800	319.200	4.350		
4.360	275.000	165.000	67.100	507.100	4.360	22.400	100.000	196.800	319.200	4.360		
4.370	275.000	167.200	67.100	509.300	4.370	24.800	100.000	200.000	324.800	4.370		
4.380	275.000	167.200	69.300	511.500	4.380	22.400	96.800	196.800	316.000	4.380		
4.390	275.000	169.400	69.300	513.700	4.390	22.400	96.800	196.800	316.000	4.390		
4.400	275.000	169.400	69.300	513.700	4.400	22.400	96.800	194.400	313.600	4.400		
4.410	275.000	167.200	71.500	513.700	4.410	22.400	96.800	196.800	316.000	4.410		
4.420	275.000	169.400	69.300	513.700	4.420	22.400	96.800	196.800	316.000	4.420		
4.430	275.000	169.400	71.500	515.900	4.430	22.400	96.800	196.800	316.000	4.430		
4.440	275.000	169.400	71.500	515.900	4.440	22.400	96.800	196.800	316.000	4.440		
4.450	275.000	169.400	74.800	519.200	4.450	22.400	94.400	200.000	316.800	4.450		
4.460	275.000	169.400	74.800	519.200	4.460	22.400	94.400	196.800	313.600	4.460		
4.470	271.700	169.400	74.800	515.900	4.470	22.400	94.400	196.800	313.600	4.470		
4.480	271.700	169.400	77.000	518.100	4.480	22.400	96.800	196.800	316.000	4.480		
4.490	269.500	169.400	77.000	515.900	4.490	22.400	96.800	196.800	316.000	4.490		
4.500	270.000	169.560	76.680	516.240	4.500	22.120	97.170	194.340	313.630	4.500		
4.510	270.000	169.560	79.920	519.480	4.510	22.120	97.170	197.500	316.790	4.510		
4.520	266.760	169.560	79.920	516.240	4.520	22.120	97.170	197.500	316.790	4.520		
4.530	264.600	169.560	82.080	516.240	4.530	22.120	97.170	197.500	316.790	4.530		
4.540	264.600	169.560	84.240	518.400	4.540	22.120	99.540	197.500	319.160	4.540		
4.550	262.440	169.560	84.240	516.240	4.550	22.120	97.170	197.500	316.790	4.550		
4.560	262.440	169.560	87.480	519.480	4.560	24.490	99.540	194.340	318.370	4.560		
4.570	259.200	169.560	89.640	518.400	4.570	22.120	97.170	194.340	313.630	4.570		
4.580	257.040	169.560	91.800	518.400	4.580	24.490	99.540	194.340	318.370	4.580		
4.590	254.880	169.560	91.800	516.240	4.590	24.490	99.540	194.340	318.370	4.590		
4.600	254.880	169.560	93.960	518.400	4.600	24.490	99.540	194.340	318.370	4.600		
4.610	251.640	169.560	93.960	515.160	4.610	24.490	99.540	197.500	321.530	4.610		
4.620	249.480	167.400	97.200	514.080	4.620	24.490	99.540	194.340	318.370	4.620		
