timestamp, HMD_x, HMD_y,HMD_z
493.158,10,-39.2221,1.7552,-1.2427
493.168,10,-39.2180,1.7551,-1.2415
493.180,10,-39.2139,1.7551,-1.2403
493.191,10,-39.2097,1.7553,-1.2392
493.202,10,-39.2054,1.7557,-1.2382
493.213,10,-39.2010,1.7560,-1.2373
493.224,10,-39.1966,1.7563,-1.2364
493.235,10,-39.1921,1.7567,-1.2356
493.246,10,-39.1875,1.7572,-1.2349
493.257,10,-39.1830,1.7575,-1.2341
493.268,10,-39.1783,1.7578,-1.2334
493.279,10,-39.1736,1.7580,-1.2328
493.290,10,-39.1689,1.7580,-1.2321
493.301,10,-39.1641,1.7580,-1.2316
493.313,10,-39.1592,1.7579,-1.2310
493.324,10,-39.1543,1.7577,-1.2305
493.335,10,-39.1494,1.7575,-1.2301
493.346,10,-39.1444,1.7572,-1.2298
493.357,10,-39.1394,1.7569,-1.2295
493.368,10,-39.1343,1.7566,-1.2294
493.380,10,-39.1290,1.7564,-1.2293
493.390,10,-39.1237,1.7561,-1.2292
493.402,10,-39.1184,1.7559,-1.2293
493.413,10,-39.1131,1.7556,-1.2293
493.424,10,-39.1076,1.7553,-1.2294
493.435,10,-39.1022,1.7550,-1.2295
493.446,10,-39.0966,1.7546,-1.2297
493.457,10,-39.0910,1.7542,-1.2300
493.468,10,-39.0854,1.7537,-1.2303
493.480,10,-39.0798,1.7533,-1.2307
493.491,10,-39.0739,1.7529,-1.2313
493.502,10,-39.0682,1.7525,-1.2318
493.513,10,-39.0625,1.7521,-1.2324
493.524,10,-39.0567,1.7516,-1.2330
493.535,10,-39.0510,1.7512,-1.2338
493.547,10,-39.0453,1.7508,-1.2346
493.558,10,-39.0396,1.7505,-1.2355
493.569,10,-39.0340,1.7502,-1.2364
493.580,10,-39.0284,1.7499,-1.2375
493.591,10,-39.0227,1.7499,-1.2386
493.602,10,-39.0170,1.7499,-1.2398
493.613,10,-39.0112,1.7502,-1.2412
493.624,10,-39.0053,1.7509,-1.2426
493.635,10,-38.9995,1.7517,-1.2440
493.646,10,-38.9936,1.7528,-1.2456
493.658,10,-38.9877,1.7539,-1.2472
493.668,10,-38.9816,1.7555,-1.2489
493.679,10,-38.9754,1.7570,-1.2505
493.690,10,-38.9693,1.7584,-1.2520
493.701,10,-38.9632,1.7594,-1.2535
493.712,10,-38.9571,1.7603,-1.2548
493.724,10,-38.9510,1.7612,-1.2561
493.735,10,-38.9449,1.7620,-1.2572
493.746,10,-38.9389,1.7626,-1.2582
493.757,10,-38.9329,1.7631,-1.2591
493.768,10,-38.9268,1.7634,-1.2600
493.779,10,-38.9206,1.7637,-1.2608
493.791,10,-38.9145,1.7638,-1.2615
493.802,10,-38.9083,1.7638,-1.2622
493.813,10,-38.9022,1.7639,-1.2627
493.824,10,-38.8961,1.7639,-1.2632
493.835,10,-38.8899,1.7640,-1.2637
493.846,10,-38.8837,1.7640,-1.2641
493.857,10,-38.8772,1.7641,-1.2645
493.869,10,-38.8708,1.7643,-1.2648
493.880,10,-38.8644,1.7646,-1.2650
493.890,10,-38.8581,1.7649,-1.2652
493.902,10,-38.8519,1.7652,-1.2654
493.913,10,-38.8455,1.7654,-1.2655
493.924,10,-38.8392,1.7655,-1.2656
493.935,10,-38.8330,1.7655,-1.2657
493.946,10,-38.8267,1.7654,-1.2657
493.957,10,-38.8204,1.7651,-1.2657
493.969,10,-38.8139,1.7648,-1.2656
493.979,10,-38.8076,1.7646,-1.2655
493.990,10,-38.8011,1.7643,-1.2655
494.001,10,-38.7946,1.7639,-1.2654
494.012,10,-38.7879,1.7633,-1.2653
494.024,10,-38.7810,1.7628,-1.2651
494.035,10,-38.7743,1.7622,-1.2649
494.046,10,-38.7675,1.7616,-1.2647
494.057,10,-38.7607,1.7608,-1.2643
494.068,10,-38.7540,1.7600,-1.2640
494.079,10,-38.7470,1.7592,-1.2636
494.091,10,-38.7400,1.7583,-1.2631
494.101,10,-38.7330,1.7574,-1.2625
494.113,10,-38.7261,1.7563,-1.2619
494.124,10,-38.7192,1.7551,-1.2612
494.135,10,-38.7123,1.7539,-1.2604
494.146,10,-38.7053,1.7528,-1.2596
494.157,10,-38.6982,1.7517,-1.2587
494.168,10,-38.6909,1.7506,-1.2577
494.179,10,-38.6839,1.7497,-1.2566
494.190,10,-38.6771,1.7487,-1.2555
494.201,10,-38.6702,1.7479,-1.2543
494.212,10,-38.6632,1.7471,-1.2531
494.223,10,-38.6561,1.7466,-1.2518
494.234,10,-38.6489,1.7463,-1.2504
494.245,10,-38.6416,1.7462,-1.2490
494.256,10,-38.6343,1.7466,-1.2475
494.268,10,-38.6269,1.7472,-1.2459
494.278,10,-38.6197,1.7477,-1.2443
494.290,10,-38.6123,1.7485,-1.2429
494.301,10,-38.6047,1.7497,-1.2413
494.312,10,-38.5971,1.7514,-1.2398
494.323,10,-38.5897,1.7530,-1.2383
494.334,10,-38.5825,1.7541,-1.2369
494.345,10,-38.5752,1.7550,-1.2355
494.356,10,-38.5681,1.7558,-1.2341
494.367,10,-38.5608,1.7564,-1.2329
494.378,10,-38.5538,1.7570,-1.2317
494.389,10,-38.5467,1.7574,-1.2307
494.401,10,-38.5396,1.7577,-1.2297
494.412,10,-38.5326,1.7582,-1.2288
494.423,10,-38.5255,1.7587,-1.2280
494.434,10,-38.5185,1.7592,-1.2274
494.446,10,-38.5115,1.7599,-1.2267
494.457,10,-38.5044,1.7605,-1.2262
494.468,10,-38.4973,1.7610,-1.2258
494.479,10,-38.4904,1.7615,-1.2255
494.490,10,-38.4833,1.7621,-1.2252
494.501,10,-38.4762,1.7629,-1.2251
494.513,10,-38.4692,1.7635,-1.2250
494.524,10,-38.4622,1.7640,-1.2250
494.534,10,-38.4551,1.7643,-1.2250
494.546,10,-38.4480,1.7645,-1.2251
494.557,10,-38.4409,1.7645,-1.2253
494.568,10,-38.4339,1.7644,-1.2255
494.579,10,-38.4268,1.7641,-1.2257
494.591,10,-38.4197,1.7636,-1.2259
494.601,10,-38.4126,1.7633,-1.2261
494.613,10,-38.4054,1.7627,-1.2264
494.624,10,-38.3983,1.7622,-1.2267
494.635,10,-38.3911,1.7616,-1.2271
494.646,10,-38.3839,1.7611,-1.2275
494.657,10,-38.3764,1.7605,-1.2280
494.668,10,-38.3692,1.7598,-1.2285
494.679,10,-38.3617,1.7591,-1.2290
494.690,10,-38.3542,1.7582,-1.2297
494.701,10,-38.3465,1.7574,-1.2304
494.712,10,-38.3390,1.7566,-1.2311
494.723,10,-38.3313,1.7558,-1.2319
494.734,10,-38.3237,1.7549,-1.2328
494.746,10,-38.3158,1.7540,-1.2338
494.757,10,-38.3080,1.7531,-1.2348
494.768,10,-38.3001,1.7521,-1.2359
494.779,10,-38.2921,1.7510,-1.2370
494.790,10,-38.2841,1.7500,-1.2382
494.801,10,-38.2760,1.7490,-1.2395
494.812,10,-38.2680,1.7481,-1.2408
494.823,10,-38.2600,1.7472,-1.2421
494.834,10,-38.2519,1.7463,-1.2435
494.845,10,-38.2437,1.7455,-1.2448
494.857,10,-38.2353,1.7449,-1.2464
494.868,10,-38.2270,1.7442,-1.2479
