C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\19\loadapp_2025-12-16_15-27-08-059.load
Comment müll
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
10.710	196.800	109.600	107.200	413.600	10.710	94.500	84.700	172.200	351.400	10.710		
10.720	200.000	109.600	107.200	416.800	10.720	94.500	84.700	172.200	351.400	10.720		
10.730	200.000	109.600	107.200	416.800	10.730	94.500	84.700	172.200	351.400	10.730		
10.740	200.000	112.000	107.200	419.200	10.740	94.500	84.700	172.200	351.400	10.740		
10.750	200.000	109.600	107.200	416.800	10.750	94.500	84.700	169.400	348.600	10.750		
10.760	200.000	109.600	107.200	416.800	10.760	97.300	84.700	169.400	351.400	10.760		
10.770	200.000	109.600	107.200	416.800	10.770	94.500	84.700	169.400	348.600	10.770		
10.780	200.000	112.000	107.200	419.200	10.780	94.500	84.700	167.300	346.500	10.780		
10.790	199.260	111.780	109.350	420.390	10.790	94.500	87.500	167.300	349.300	10.790		
10.800	202.500	111.780	109.350	423.630	10.800	94.470	84.420	167.500	346.390	10.800		
10.810	202.500	111.780	106.920	421.200	10.810	94.470	84.420	167.500	346.390	10.810		
10.820	202.500	111.780	106.920	421.200	10.820	94.470	84.420	167.500	346.390	10.820		
10.830	202.500	111.780	106.920	421.200	10.830	94.470	84.420	167.500	346.390	10.830		
10.840	202.500	111.780	109.350	423.630	10.840	94.470	84.420	164.820	343.710	10.840		
10.850	202.500	111.780	109.350	423.630	10.850	94.470	84.420	164.820	343.710	10.850		
10.860	202.500	114.210	109.350	426.060	10.860	94.470	84.420	164.820	343.710	10.860		
10.870	202.500	114.210	106.920	423.630	10.870	94.470	84.420	164.820	343.710	10.870		
10.880	202.500	114.210	111.780	428.490	10.880	94.470	82.410	162.140	339.020	10.880		
10.890	202.500	114.210	111.780	428.490	10.890	97.150	84.420	162.140	343.710	10.890		
10.900	202.500	114.210	109.350	426.060	10.900	97.150	84.420	162.140	343.710	10.900		
10.910	202.500	114.210	111.780	428.490	10.910	94.470	84.420	159.460	338.350	10.910		
10.920	202.500	114.210	111.780	428.490	10.920	97.150	84.420	159.460	341.030	10.920		
10.930	202.500	114.210	109.350	426.060	10.930	94.470	82.410	159.460	336.340	10.930		
10.940	202.500	117.450	111.780	431.730	10.940	94.470	84.420	159.460	338.350	10.940		
10.950	202.500	117.450	109.350	429.300	10.950	97.280	84.480	160.000	341.760	10.950		
10.960	202.500	117.450	111.780	431.730	10.960	97.280	84.480	157.440	339.200	10.960		
10.970	202.500	117.450	111.780	431.730	10.970	97.280	81.920	157.440	336.640	10.970		
10.980	202.500	117.450	111.780	431.730	10.980	97.280	84.480	157.440	339.200	10.980		
10.990	202.500	114.210	111.780	428.490	10.990	97.280	84.480	157.440	339.200	10.990		
11.000	202.500	117.450	111.780	431.730	11.000	97.280	84.480	157.440	339.200	11.000		
11.010	202.500	117.450	114.210	434.160	11.010	97.280	84.480	154.880	336.640	11.010		
11.020	202.500	117.450	114.210	434.160	11.020	97.280	84.480	154.880	336.640	11.020		
11.030	202.500	117.450	114.210	434.160	11.030	97.280	84.480	154.880	336.640	11.030		
11.040	202.500	119.880	114.210	436.590	11.040	97.280	84.480	154.880	336.640	11.040		
11.050	202.500	117.450	114.210	434.160	11.050	97.280	84.480	154.880	336.640	11.050		
11.060	202.500	117.450	114.210	434.160	11.060	97.280	84.480	154.880	336.640	11.060		
11.070	202.500	119.880	114.210	436.590	11.070	97.280	84.480	154.880	336.640	11.070		
11.080	202.500	119.880	117.450	439.830	11.080	99.840	84.480	154.880	339.200	11.080		
11.090	202.500	119.880	117.450	439.830	11.090	97.280	84.480	152.320	334.080	11.090		
11.100	202.500	122.310	117.450	442.260	11.100	99.430	84.790	152.500	336.720	11.100		
11.110	202.500	119.880	114.210	436.590	11.110	99.430	87.230	152.500	339.160	11.110		
11.120	202.500	122.310	117.450	442.260	11.120	99.430	87.230	149.450	336.110	11.120		
11.130	202.500	122.310	117.450	442.260	11.130	99.430	87.230	149.450	336.110	11.130		
11.140	199.260	122.310	117.450	439.020	11.140	99.430	84.790	147.010	331.230	11.140		
11.150	199.260	122.310	119.880	441.450	11.150	102.480	87.230	147.010	336.720	11.150		
11.160	199.260	124.740	122.310	446.310	11.160	102.480	87.230	144.570	334.280	11.160		
11.170	199.260	122.310	119.880	441.450	11.170	102.480	87.230	144.570	334.280	11.170		
11.180	194.400	122.310	119.880	436.590	11.180	102.480	87.230	144.570	334.280	11.180		
11.190	196.830	124.740	122.310	443.880	11.190	102.480	89.670	144.570	336.720	11.190		
11.200	194.400	124.740	122.310	441.450	11.200	102.480	87.230	144.570	334.280	11.200		
11.210	194.400	122.310	122.310	439.020	11.210	104.920	89.670	144.570	339.160	11.210		
11.220	191.970	122.310	122.310	436.590	11.220	104.920	89.670	144.570	339.160	11.220		
11.230	191.970	122.310	124.740	439.020	11.230	104.920	89.670	144.570	339.160	11.230		
11.240	192.500	124.740	124.740	441.980	11.240	107.360	89.670	142.130	339.160	11.240		
11.250	189.420	124.740	122.430	436.590	11.250	107.160	89.490	142.500	339.150	11.250		
11.260	189.420	124.740	124.740	438.900	11.260	104.880	92.340	139.650	336.870	11.260		
11.270	189.420	122.430	124.740	436.590	11.270	107.160	92.340	139.650	339.150	11.270		
11.280	187.110	122.430	124.740	434.280	11.280	107.160	92.340	139.650	339.150	11.280		
11.290	187.110	124.740	124.740	436.590	11.290	109.440	92.340	139.650	341.430	11.290		
11.300	187.110	124.740	124.740	436.590	11.300	109.440	92.340	139.650	341.430	11.300		
11.310	187.110	122.430	124.740	434.280	11.310	109.440	92.340	137.370	339.150	11.310		
11.320	184.800	124.740	124.740	434.280	11.320	109.440	92.340	137.370	339.150	11.320		
11.330	184.800	124.740	124.740	434.280	11.330	109.440	92.340	134.520	336.300	11.330		
