timestamp, HMD_x, HMD_y,HMD_z
155.713,10,-38.3052,1.8182,-1.3563
155.724,10,-38.2954,1.8188,-1.3561
155.735,10,-38.2855,1.8190,-1.3557
155.746,10,-38.2756,1.8191,-1.3553
155.757,10,-38.2653,1.8189,-1.3548
155.768,10,-38.2551,1.8186,-1.3544
155.780,10,-38.2447,1.8181,-1.3539
155.791,10,-38.2347,1.8175,-1.3533
155.802,10,-38.2245,1.8166,-1.3528
155.813,10,-38.2140,1.8156,-1.3521
155.824,10,-38.2037,1.8143,-1.3514
155.836,10,-38.1930,1.8128,-1.3507
155.847,10,-38.1825,1.8114,-1.3498
155.857,10,-38.1718,1.8097,-1.3489
155.869,10,-38.1612,1.8078,-1.3479
155.880,10,-38.1503,1.8059,-1.3468
155.891,10,-38.1396,1.8037,-1.3456
155.902,10,-38.1286,1.8014,-1.3443
155.913,10,-38.1175,1.7990,-1.3429
155.925,10,-38.1065,1.7964,-1.3414
155.936,10,-38.0953,1.7938,-1.3397
155.948,10,-38.0843,1.7917,-1.3380
155.959,10,-38.0731,1.7901,-1.3362
155.970,10,-38.0617,1.7889,-1.3343
155.982,10,-38.0504,1.7880,-1.3323
155.993,10,-38.0388,1.7874,-1.3302
156.004,10,-38.0273,1.7866,-1.3281
156.015,10,-38.0157,1.7861,-1.3258
156.026,10,-38.0042,1.7857,-1.3234
156.038,10,-37.9925,1.7859,-1.3210
156.049,10,-37.9808,1.7868,-1.3186
156.060,10,-37.9692,1.7880,-1.3163
156.071,10,-37.9574,1.7905,-1.3141
156.082,10,-37.9459,1.7935,-1.3119
156.093,10,-37.9342,1.7963,-1.3096
156.105,10,-37.9225,1.7997,-1.3076
156.115,10,-37.9110,1.8029,-1.3056
156.127,10,-37.8997,1.8057,-1.3038
156.138,10,-37.8885,1.8078,-1.3022
156.149,10,-37.8774,1.8090,-1.3010
156.160,10,-37.8666,1.8096,-1.2998
156.171,10,-37.8562,1.8097,-1.2991
156.182,10,-37.8458,1.8103,-1.2985
156.193,10,-37.8354,1.8115,-1.2979
156.205,10,-37.8252,1.8132,-1.2975
156.215,10,-37.8149,1.8152,-1.2971
156.227,10,-37.8047,1.8173,-1.2969
156.238,10,-37.7942,1.8189,-1.2965
156.247,10,-37.7839,1.8206,-1.2963
156.259,10,-37.7735,1.8222,-1.2961
156.270,10,-37.7633,1.8240,-1.2961
156.281,10,-37.7531,1.8259,-1.2961
156.293,10,-37.7428,1.8277,-1.2962
156.304,10,-37.7327,1.8292,-1.2963
156.315,10,-37.7225,1.8303,-1.2964
156.326,10,-37.7122,1.8313,-1.2964
156.337,10,-37.7018,1.8317,-1.2964
156.348,10,-37.6914,1.8319,-1.2965
156.359,10,-37.6810,1.8319,-1.2965
156.371,10,-37.6707,1.8316,-1.2966
156.382,10,-37.6603,1.8312,-1.2967
156.393,10,-37.6498,1.8306,-1.2968
156.404,10,-37.6391,1.8297,-1.2971
156.415,10,-37.6283,1.8285,-1.2973
156.426,10,-37.6177,1.8274,-1.2974
156.437,10,-37.6068,1.8255,-1.2977
156.448,10,-37.5960,1.8238,-1.2982
156.460,10,-37.5851,1.8216,-1.2987
156.471,10,-37.5742,1.8194,-1.2993
156.482,10,-37.5633,1.8168,-1.3000
156.493,10,-37.5525,1.8142,-1.3008
156.504,10,-37.5414,1.8113,-1.3018
156.515,10,-37.5304,1.8086,-1.3028
156.526,10,-37.5194,1.8059,-1.3040
156.537,10,-37.5083,1.8033,-1.3052
156.548,10,-37.4972,1.8010,-1.3065
156.559,10,-37.4861,1.7990,-1.3081
156.570,10,-37.4751,1.7973,-1.3097
156.581,10,-37.4639,1.7961,-1.3116
156.592,10,-37.4529,1.7951,-1.3135
156.604,10,-37.4418,1.7945,-1.3155
156.615,10,-37.4308,1.7937,-1.3176
156.626,10,-37.4199,1.7935,-1.3198
156.638,10,-37.4089,1.7937,-1.3220
156.649,10,-37.3980,1.7947,-1.3243
156.660,10,-37.3870,1.7969,-1.3267
156.671,10,-37.3763,1.7990,-1.3290
156.682,10,-37.3658,1.8014,-1.3313
156.693,10,-37.3553,1.8042,-1.3335
156.705,10,-37.3450,1.8072,-1.3357
156.717,10,-37.3348,1.8100,-1.3379
156.726,10,-37.3246,1.8126,-1.3400
156.736,10,-37.3144,1.8150,-1.3420
156.747,10,-37.3044,1.8167,-1.3438
156.759,10,-37.2945,1.8179,-1.3454
156.769,10,-37.2844,1.8192,-1.3468
156.781,10,-37.2744,1.8208,-1.3477
156.792,10,-37.2641,1.8231,-1.3488
156.803,10,-37.2540,1.8258,-1.3497
156.814,10,-37.2438,1.8284,-1.3505
156.825,10,-37.2336,1.8308,-1.3511
156.836,10,-37.2237,1.8329,-1.3517
156.847,10,-37.2136,1.8348,-1.3523
156.858,10,-37.2037,1.8367,-1.3525
156.869,10,-37.1937,1.8385,-1.3527
156.880,10,-37.1837,1.8402,-1.3529
156.892,10,-37.1742,1.8414,-1.3530
156.902,10,-37.1645,1.8426,-1.3530
156.913,10,-37.1548,1.8437,-1.3531
156.924,10,-37.1452,1.8442,-1.3529
156.935,10,-37.1355,1.8445,-1.3526
156.946,10,-37.1256,1.8443,-1.3524
156.957,10,-37.1157,1.8443,-1.3521
156.968,10,-37.1058,1.8437,-1.3518
156.980,10,-37.0959,1.8433,-1.3514
156.990,10,-37.0857,1.8427,-1.3510
157.002,10,-37.0753,1.8420,-1.3506
157.013,10,-37.0647,1.8412,-1.3501
157.024,10,-37.0541,1.8399,-1.3494
157.035,10,-37.0437,1.8385,-1.3486
157.047,10,-37.0329,1.8368,-1.3478
157.058,10,-37.0224,1.8351,-1.3470
157.069,10,-37.0116,1.8331,-1.3460
157.080,10,-37.0006,1.8312,-1.3450
157.092,10,-36.9897,1.8292,-1.3438
157.103,10,-36.9788,1.8270,-1.3427
157.114,10,-36.9680,1.8246,-1.3413
157.125,10,-36.9573,1.8223,-1.3397
157.137,10,-36.9465,1.8202,-1.3380
157.148,10,-36.9357,1.8186,-1.3363
157.159,10,-36.9248,1.8174,-1.3346
157.171,10,-36.9139,1.8165,-1.3328
157.182,10,-36.9029,1.8159,-1.3308
157.193,10,-36.8919,1.8154,-1.3287
157.204,10,-36.8808,1.8148,-1.3266
157.216,10,-36.8699,1.8145,-1.3242
157.227,10,-36.8590,1.8143,-1.3219
157.238,10,-36.8482,1.8142,-1.3197
157.249,10,-36.8372,1.8147,-1.3173
157.259,10,-36.8263,1.8160,-1.3150
157.271,10,-36.8155,1.8181,-1.3125
157.282,10,-36.8047,1.8204,-1.3103
157.293,10,-36.7939,1.8228,-1.3080
157.304,10,-36.7831,1.8254,-1.3059
157.316,10,-36.7725,1.8280,-1.3038
157.326,10,-36.7620,1.8301,-1.3020
157.337,10,-36.7518,1.8320,-1.3002
157.348,10,-36.7417,1.8334,-1.2987
157.359,10,-36.7318,1.8344,-1.2972
157.370,10,-36.7220,1.8353,-1.2961
157.381,10,-36.7125,1.8362,-1.2952
157.392,10,-36.7027,1.8375,-1.2944
157.404,10,-36.6931,1.8393,-1.2937
157.414,10,-36.6836,1.8414,-1.2932
157.426,10,-36.6740,1.8434,-1.2928
157.436,10,-36.6643,1.8453,-1.2924
157.448,10,-36.6548,1.8472,-1.2922
157.459,10,-36.6453,1.8491,-1.2920
157.470,10,-36.6359,1.8511,-1.2920
157.481,10,-36.6265,1.8529,-1.2920
157.492,10,-36.6171,1.8546,-1.2920
157.503,10,-36.6078,1.8560,-1.2921
157.515,10,-36.5986,1.8572,-1.2921
157.526,10,-36.5894,1.8580,-1.2922
157.537,10,-36.5802,1.8584,-1.2924
157.548,10,-36.5708,1.8588,-1.2927
157.559,10,-36.5615,1.8588,-1.2930
157.570,10,-36.5526,1.8588,-1.2933
157.581,10,-36.5434,1.8586,-1.2937
157.592,10,-36.5341,1.8583,-1.2941
157.603,10,-36.5245,1.8579,-1.2945
157.614,10,-36.5149,1.8574,-1.2949
157.626,10,-36.5051,1.8566,-1.2954
157.637,10,-36.4955,1.8557,-1.2960
157.648,10,-36.4858,1.8545,-1.2967
157.659,10,-36.4762,1.8533,-1.2974
157.670,10,-36.4664,1.8521,-1.2981
157.682,10,-36.4564,1.8506,-1.2988
157.692,10,-36.4468,1.8492,-1.2997
157.703,10,-36.4371,1.8476,-1.3006
157.715,10,-36.4272,1.8457,-1.3016
