timestamp, HMD_x, HMD_y,HMD_z
759.635,10,-37.5036,1.7817,-1.2249
759.646,10,-37.4931,1.7805,-1.2276
759.657,10,-37.4823,1.7796,-1.2303
759.669,10,-37.4716,1.7791,-1.2329
759.680,10,-37.4608,1.7790,-1.2356
759.690,10,-37.4503,1.7791,-1.2382
759.704,10,-37.4396,1.7797,-1.2406
759.715,10,-37.4289,1.7805,-1.2432
759.727,10,-37.4182,1.7818,-1.2455
759.738,10,-37.4073,1.7839,-1.2479
759.749,10,-37.3965,1.7858,-1.2502
759.761,10,-37.3860,1.7879,-1.2522
759.772,10,-37.3751,1.7900,-1.2542
759.784,10,-37.3647,1.7921,-1.2560
759.795,10,-37.3543,1.7943,-1.2578
759.806,10,-37.3331,1.7985,-1.2613
759.818,10,-37.3226,1.8007,-1.2626
759.834,10,-37.3119,1.8029,-1.2637
759.845,10,-37.3013,1.8052,-1.2648
759.856,10,-37.2907,1.8073,-1.2658
759.868,10,-37.2802,1.8091,-1.2665
759.879,10,-37.2696,1.8107,-1.2672
759.890,10,-37.2593,1.8119,-1.2677
759.902,10,-37.2489,1.8128,-1.2681
759.914,10,-37.2385,1.8134,-1.2684
759.925,10,-37.2282,1.8137,-1.2687
759.936,10,-37.2180,1.8136,-1.2689
759.948,10,-37.2078,1.8133,-1.2690
759.959,10,-37.1976,1.8130,-1.2691
759.971,10,-37.1873,1.8123,-1.2691
759.981,10,-37.1769,1.8114,-1.2691
759.992,10,-37.1666,1.8106,-1.2691
760.003,10,-37.1563,1.8097,-1.2690
760.014,10,-37.1460,1.8086,-1.2689
760.024,10,-37.1356,1.8073,-1.2686
760.035,10,-37.1253,1.8058,-1.2683
760.045,10,-37.1150,1.8043,-1.2679
760.056,10,-37.1046,1.8028,-1.2676
760.067,10,-37.0942,1.8011,-1.2671
760.078,10,-37.0838,1.7995,-1.2667
760.088,10,-37.0733,1.7979,-1.2661
760.099,10,-37.0628,1.7963,-1.2656
760.110,10,-37.0522,1.7947,-1.2650
760.122,10,-37.0417,1.7930,-1.2644
760.133,10,-37.0313,1.7912,-1.2637
760.143,10,-37.0208,1.7895,-1.2630
760.154,10,-37.0104,1.7879,-1.2622
760.166,10,-36.9999,1.7864,-1.2613
760.178,10,-36.9894,1.7851,-1.2603
760.188,10,-36.9790,1.7840,-1.2593
760.199,10,-36.9686,1.7832,-1.2583
760.210,10,-36.9581,1.7828,-1.2572
760.221,10,-36.9475,1.7825,-1.2561
760.232,10,-36.9369,1.7824,-1.2550
760.243,10,-36.9265,1.7829,-1.2538
760.254,10,-36.9160,1.7833,-1.2527
760.265,10,-36.9056,1.7841,-1.2515
760.276,10,-36.8953,1.7848,-1.2502
760.288,10,-36.8852,1.7857,-1.2491
760.298,10,-36.8751,1.7871,-1.2478
760.309,10,-36.8652,1.7883,-1.2467
760.321,10,-36.8554,1.7902,-1.2455
760.332,10,-36.8456,1.7922,-1.2444
760.343,10,-36.8358,1.7942,-1.2433
760.355,10,-36.8261,1.7964,-1.2423
760.365,10,-36.8166,1.7987,-1.2414
